track_center_x,track_center_y,track_width_right,track_width_left
1.000000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.979866764718843797e+01,3.171195982828225457e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.919548128307951629e+01,6.329622678687463200e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.819286972627068621e+01,9.462562218020512006e+00,5.000000000000000000e+00,5.000000000000000000e+00
9.679487013963564834e+01,1.255739935905396187e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.500711177409453967e+01,1.560167228492435676e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.283679330160725840e+01,1.858312278301637832e+01,5.000000000000000000e+00,5.000000000000000000e+00
9.029265382866209677e+01,2.148974560445858373e+01,5.000000000000000000e+00,5.000000000000000000e+00
8.738493770697847651e+01,2.430983680502343347e+01,5.000000000000000000e+00,5.000000000000000000e+00
8.412535328311811611e+01,2.703204087277987355e+01,5.000000000000000000e+00,5.000000000000000000e+00
8.052702575310587463e+01,2.964539645273201884e+01,5.000000000000000000e+00,5.000000000000000000e+00
7.660444431189782222e+01,3.213938048432696348e+01,5.000000000000000000e+00,5.000000000000000000e+00
7.237340381050701410e+01,3.450395057410560185e+01,5.000000000000000000e+00,5.000000000000000000e+00
6.785094115571321538e+01,3.672958543287666799e+01,5.000000000000000000e+00,5.000000000000000000e+00
6.305526670845223691e+01,3.880732321458784639e+01,5.000000000000000000e+00,5.000000000000000000e+00
5.800569095711981760e+01,4.072879760251679215e+01,5.000000000000000000e+00,5.000000000000000000e+00
5.272254676105023918e+01,4.248627149747571963e+01,5.000000000000000000e+00,5.000000000000000000e+00
4.722710747726826952e+01,4.407266817237909606e+01,5.000000000000000000e+00,5.000000000000000000e+00
4.154150130018864218e+01,4.548159976772591051e+01,5.000000000000000000e+00,5.000000000000000000e+00
3.568862215918719016e+01,4.670739301325533432e+01,5.000000000000000000e+00,5.000000000000000000e+00
2.969203753282749858e+01,4.774511207220369613e+01,5.000000000000000000e+00,5.000000000000000000e+00
2.357589355094273031e+01,4.859057841617708817e+01,5.000000000000000000e+00,5.000000000000000000e+00
1.736481776669304367e+01,4.924038765061040124e+01,5.000000000000000000e+00,5.000000000000000000e+00
1.108381999010111052e+01,4.969192322306270171e+01,5.000000000000000000e+00,5.000000000000000000e+00
4.758191582374218243e+00,4.994336695915040991e+01,5.000000000000000000e+00,5.000000000000000000e+00
-1.586596383480802785e+00,4.999370638369376252e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.924995685678855040e+00,4.984273879759711434e+01,5.000000000000000000e+00,5.000000000000000000e+00
-1.423148382732852291e+01,4.949107209404662910e+01,5.000000000000000000e+00,5.000000000000000000e+00
-2.048066680651907490e+01,4.894012231073894270e+01,5.000000000000000000e+00,5.000000000000000000e+00
-2.664738136900350796e+01,4.819210792799711385e+01,5.000000000000000000e+00,5.000000000000000000e+00
-3.270679633174216860e+01,4.725004093573343056e+01,5.000000000000000000e+00,5.000000000000000000e+00
-3.863451256931286792e+01,4.611771470522906924e+01,5.000000000000000000e+00,5.000000000000000000e+00
-4.440666126057741536e+01,4.479968871456679125e+01,5.000000000000000000e+00,5.000000000000000000e+00
-5.000000000000001421e+01,4.330127018922192406e+01,5.000000000000000000e+00,5.000000000000000000e+00
-5.539200638661101550e+01,4.162849273173856801e+01,5.000000000000000000e+00,5.000000000000000000e+00
-6.056096871376666968e+01,3.978809202654160515e+01,5.000000000000000000e+00,5.000000000000000000e+00
-6.548607339452850340e+01,3.778747871771292210e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.014748877063213683e+01,3.563470856894313954e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.452644496757547188e+01,3.333845002581458061e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.860530947427875503e+01,3.090794931103025434e+01,5.000000000000000000e+00,5.000000000000000000e+00
-8.236765814298327371e+01,2.835299319313853772e+01,5.000000000000000000e+00,5.000000000000000000e+00
-8.579834132349770925e+01,2.568386957867031128e+01,5.000000000000000000e+00,5.000000000000000000e+00
-8.888354486549233968e+01,2.291132608637052215e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.161084574320695140e+01,2.004652677033067931e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.396926207859083036e+01,1.710100716628344841e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.594929736144976573e+01,1.408662784207148277e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.754297868854071396e+01,1.101552663932704235e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.874388886763942708e+01,7.900069798667494148e+00,5.000000000000000000e+00,5.000000000000000000e+00
-9.954719225730845267e+01,4.752802165209121910e+00,5.000000000000000000e+00,5.000000000000000000e+00
-9.994965423831853002e+01,1.586396674903382875e+00,5.000000000000000000e+00,5.000000000000000000e+00
-9.994965423831853002e+01,-1.586396674903392423e+00,5.000000000000000000e+00,5.000000000000000000e+00
-9.954719225730845267e+01,-4.752802165209131680e+00,5.000000000000000000e+00,5.000000000000000000e+00
-9.874388886763941287e+01,-7.900069798667505694e+00,5.000000000000000000e+00,5.000000000000000000e+00
-9.754297868854071396e+01,-1.101552663932702991e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.594929736144975152e+01,-1.408662784207149521e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.396926207859084457e+01,-1.710100716628343420e+01,5.000000000000000000e+00,5.000000000000000000e+00
-9.161084574320695140e+01,-2.004652677033068997e+01,5.000000000000000000e+00,5.000000000000000000e+00
-8.888354486549233968e+01,-2.291132608637051504e+01,5.000000000000000000e+00,5.000000000000000000e+00
-8.579834132349769504e+01,-2.568386957867032194e+01,5.000000000000000000e+00,5.000000000000000000e+00
-8.236765814298328792e+01,-2.835299319313852706e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.860530947427875503e+01,-3.090794931103025789e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.452644496757548609e+01,-3.333845002581457351e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.014748877063212262e+01,-3.563470856894314664e+01,5.000000000000000000e+00,5.000000000000000000e+00
-6.548607339452851761e+01,-3.778747871771291500e+01,5.000000000000000000e+00,5.000000000000000000e+00
-6.056096871376666257e+01,-3.978809202654161226e+01,5.000000000000000000e+00,5.000000000000000000e+00
-5.539200638661103682e+01,-4.162849273173856091e+01,5.000000000000000000e+00,5.000000000000000000e+00
-4.999999999999996447e+01,-4.330127018922193827e+01,5.000000000000000000e+00,5.000000000000000000e+00
-4.440666126057738694e+01,-4.479968871456679125e+01,5.000000000000000000e+00,5.000000000000000000e+00
-3.863451256931286792e+01,-4.611771470522906213e+01,5.000000000000000000e+00,5.000000000000000000e+00
-3.270679633174219703e+01,-4.725004093573342345e+01,5.000000000000000000e+00,5.000000000000000000e+00
-2.664738136900346532e+01,-4.819210792799711385e+01,5.000000000000000000e+00,5.000000000000000000e+00
-2.048066680651905713e+01,-4.894012231073894270e+01,5.000000000000000000e+00,5.000000000000000000e+00
-1.423148382732852468e+01,-4.949107209404662910e+01,5.000000000000000000e+00,5.000000000000000000e+00
-7.924995685678879020e+00,-4.984273879759711434e+01,5.000000000000000000e+00,5.000000000000000000e+00
-1.586596383480760819e+00,-4.999370638369375541e+01,5.000000000000000000e+00,5.000000000000000000e+00
4.758191582374237782e+00,-4.994336695915040991e+01,5.000000000000000000e+00,5.000000000000000000e+00
1.108381999010108565e+01,-4.969192322306270171e+01,5.000000000000000000e+00,5.000000000000000000e+00
1.736481776669299748e+01,-4.924038765061040834e+01,5.000000000000000000e+00,5.000000000000000000e+00
2.357589355094275163e+01,-4.859057841617708817e+01,5.000000000000000000e+00,5.000000000000000000e+00
2.969203753282749858e+01,-4.774511207220369613e+01,5.000000000000000000e+00,5.000000000000000000e+00
3.568862215918716885e+01,-4.670739301325534143e+01,5.000000000000000000e+00,5.000000000000000000e+00
4.154150130018868481e+01,-4.548159976772589630e+01,5.000000000000000000e+00,5.000000000000000000e+00
4.722710747726829084e+01,-4.407266817237909606e+01,5.000000000000000000e+00,5.000000000000000000e+00
5.272254676105022497e+01,-4.248627149747571963e+01,5.000000000000000000e+00,5.000000000000000000e+00
5.800569095711978207e+01,-4.072879760251679926e+01,5.000000000000000000e+00,5.000000000000000000e+00
6.305526670845227244e+01,-3.880732321458783218e+01,5.000000000000000000e+00,5.000000000000000000e+00
6.785094115571322959e+01,-3.672958543287666089e+01,5.000000000000000000e+00,5.000000000000000000e+00
7.237340381050701410e+01,-3.450395057410560185e+01,5.000000000000000000e+00,5.000000000000000000e+00
7.660444431189779380e+01,-3.213938048432697059e+01,5.000000000000000000e+00,5.000000000000000000e+00
8.052702575310588884e+01,-2.964539645273200463e+01,5.000000000000000000e+00,5.000000000000000000e+00
