# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.683339,-1.878198,2.074,2.271
0.151452,2.772507,2.099,2.295
1.986397,7.423128,2.125,2.319
3.821455,12.073677,2.150,2.343
5.656587,16.724166,2.175,2.367
7.491752,21.374607,2.200,2.391
9.326909,26.025014,2.226,2.415
11.162019,30.675397,2.251,2.439
12.997042,35.325770,2.276,2.462
14.831936,39.976144,2.301,2.486
16.666662,44.626532,2.327,2.510
18.501180,49.276946,2.352,2.534
20.335449,53.927398,2.377,2.558
22.169429,58.577901,2.402,2.582
24.003080,63.228467,2.428,2.606
25.836362,67.879107,2.453,2.630
27.669244,72.529833,2.478,2.654
29.501738,77.180644,2.503,2.678
31.333865,81.831537,2.529,2.702
33.165645,86.482511,2.554,2.726
34.997100,91.133563,2.579,2.750
36.828251,95.784691,2.604,2.774
38.659117,100.435894,2.630,2.798
40.489721,105.087167,2.655,2.822
42.320083,109.738510,2.680,2.845
44.150224,114.389921,2.706,2.869
45.980165,119.041396,2.731,2.893
47.809927,123.692934,2.756,2.917
49.639531,128.344532,2.781,2.941
51.468997,132.996189,2.807,2.965
53.298346,137.647901,2.832,2.989
55.127600,142.299668,2.857,3.013
56.956780,146.951486,2.882,3.037
58.785905,151.603353,2.908,3.061
60.614998,156.255268,2.933,3.085
62.444078,160.907227,2.958,3.109
64.273168,165.559229,2.983,3.133
66.102287,170.211271,3.009,3.157
67.931458,174.863352,3.034,3.181
69.760699,179.515468,3.059,3.205
71.590034,184.167619,3.084,3.229
73.419481,188.819800,3.110,3.252
75.249063,193.472011,3.135,3.276
77.078801,198.124249,3.160,3.300
78.908714,202.776512,3.185,3.324
80.738825,207.428798,3.211,3.348
82.569153,212.081104,3.236,3.372
84.399720,216.733428,3.261,3.396
86.230547,221.385768,3.286,3.420
88.061655,226.038121,3.312,3.444
89.893064,230.690486,3.337,3.468
91.724795,235.342861,3.362,3.492
93.556870,239.995242,3.388,3.516
95.389309,244.647628,3.413,3.540
97.222133,249.300016,3.438,3.564
99.055363,253.952405,3.463,3.588
100.889021,258.604792,3.489,3.612
102.723126,263.257175,3.514,3.635
104.557699,267.909552,3.539,3.659
106.392763,272.561920,3.564,3.683
108.228337,277.214277,3.590,3.707
110.064442,281.866621,3.615,3.731
111.901100,286.518949,3.640,3.755
113.738331,291.171261,3.665,3.779
115.576156,295.823552,3.691,3.803
117.414596,300.475821,3.716,3.827
119.253672,305.128067,3.741,3.851
121.093405,309.780286,3.766,3.875
122.933816,314.432476,3.792,3.899
124.774925,319.084635,3.816,3.923
126.651699,323.714334,3.669,4.006
128.738887,328.209430,3.522,4.089
131.246183,332.435357,3.522,3.226
134.379060,336.257639,3.092,3.062
138.182494,339.545392,2.677,3.289
142.495039,342.172347,2.848,3.230
147.141834,344.013044,3.038,3.065
151.981474,345.037089,2.885,3.029
156.945280,345.420747,3.132,2.821
161.974127,345.367418,3.058,2.924
167.008204,345.065211,2.807,3.178
171.977944,344.482774,2.789,3.230
176.806475,343.424482,2.869,3.193
181.417183,341.694720,2.987,3.121
185.749365,339.242190,2.914,3.218
189.762356,336.197440,2.948,3.207
193.416775,332.702620,3.070,3.105
196.666967,328.885936,3.207,2.965
199.423062,324.777280,2.742,3.233
201.576184,320.364273,2.591,3.084
203.023502,315.640256,2.646,2.825
203.748491,310.681493,2.785,2.710
203.798453,305.625580,2.801,2.643
203.222189,300.611552,2.651,2.577
202.092240,295.744077,2.363,2.608
200.571389,290.997188,2.182,2.600
198.843858,286.313886,2.142,2.539
197.076965,281.642398,2.102,2.479
195.319515,276.967602,2.062,2.418
193.569611,272.290054,2.022,2.358
191.825166,267.610371,1.982,2.297
190.084090,262.929171,1.942,2.236
188.344295,258.247069,1.903,2.176
186.603693,253.564683,1.863,2.115
184.860195,248.882630,1.823,2.055
183.111713,244.201525,1.783,1.994
181.356158,239.521985,1.743,1.934
179.591443,234.844628,1.703,1.873
177.815478,230.170070,1.664,1.813
176.026175,225.498928,1.624,1.752
174.221466,220.831812,1.584,1.692
172.402865,216.168291,1.544,1.631
170.579569,211.505702,1.504,1.571
168.761766,206.841091,1.464,1.510
166.959647,202.171505,1.424,1.450
165.183399,197.493991,1.385,1.389
163.443211,192.805596,1.345,1.329
161.749274,188.103367,1.305,1.268
160.111775,183.384351,1.190,1.272
158.540904,178.645594,1.021,1.323
157.046851,173.884144,1.128,1.318
155.639803,169.097048,1.247,1.300
154.329950,164.281352,1.406,1.212
153.127482,159.434104,1.493,1.107
152.040841,154.553794,1.555,0.996
151.071739,149.644481,1.460,1.003
150.220267,144.711567,1.332,1.045
149.486513,139.760453,1.374,1.113
148.870566,134.796540,1.291,1.230
148.372516,129.825230,1.183,1.336
147.992434,124.851911,1.140,1.294
147.726990,119.879465,1.200,1.285
147.565511,114.905358,1.313,1.294
147.496360,109.926350,1.273,1.313
147.507905,104.939200,1.175,1.335
147.588509,99.940667,1.077,1.357
147.726539,94.927512,1.132,1.316
147.909661,89.896706,1.206,1.266
148.099958,84.853004,1.281,1.217
148.227166,79.811000,1.355,1.167
148.218945,74.785923,1.352,1.137
148.002954,69.792997,1.281,1.126
147.506854,64.847451,1.275,1.132
146.658303,59.964509,1.310,1.205
145.388472,55.160670,1.205,1.498
